FName,LName,Target,Min,Max,Location,Focus,0,1,2,3,4
Topher,Conway,$50K,$25K,$100K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," SF Bay Area (CA) , San Francisco (CA) Cloud Infrastructure , Cloud Infrastructure , Entertainment & Sports , Entertainment & Sports , Marketplaces , Marketplaces , Real Estate/PropTech , Real Estate/PropTech , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , Social Networks , Social Networks ",https://www.svangel.com/team/,https://www.linkedin.com/in/topherc/,https://www.twitter.com/topherc,https://www.angel.co/topherc,https://www.crunchbase.com/person/topher-conway
William,Quist,$1M,$500K,$2.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," SF Bay Area (CA) , San Francisco (CA) Consumer Internet , Consumer Internet , Crypto/Web3 , Crypto/Web3 , Health & Hospital Services , Health & Hospital Services , Health IT , Health IT , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  ",https://www.slow.co/,https://www.linkedin.com/in/will-quist-b4b4974/,https://www.twitter.com/wquist,https://www.angel.co/p/will-quist,https://www.crunchbase.com/person/will-quist
Vishal,Vasishth,$3.0M,$500K,$6.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," San Francisco (CA) AgTech , AgTech , AI , AI , Education , Education , FinTech , FinTech , Future of Work , Future of Work , Health IT , Health IT , Insurance , Insurance , Manufacturing , Manufacturing , Marketplaces , Marketplaces , SaaS (Seed) , SaaS (Series A) , San Francisco Bay Area  ",https://www.obvious.com/,https://www.linkedin.com/in/vishalvasishth/,https://www.crunchbase.com/person/vishal-vasishth,,
Sheel,Mohnot,$1M,$500K,$2.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Global, SF Bay Area (CA) , San Francisco (CA)  FinTech , FinTech , Insurance , Insurance , Marketplaces , Marketplaces , Real Estate/PropTech , Real Estate/PropTech , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  ",https://www.notion.so/Sheel-Mohnot-acb2920cf07147e88dd24f1774bf4898,https://www.linkedin.com/in/smohnot/,https://www.twitter.com/pitdesi,https://www.angel.co/sheel,https://www.crunchbase.com/person/sheel-mohnot
Cyan,Banister,$250K,$100K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," SF Bay Area (CA) AI , AI , Angel, Scout, and Solo-Capitalists  , Consumer Internet , Consumer Internet , Diverse Investors  , Enterprise , Enterprise , Female Investors  , FinTech , FinTech , Future of Work , Future of Work , Human Capital/HRTech , Human Capital/HRTech , Marketplaces , Marketplaces , SaaS (Pre-Seed) , SaaS (Seed) , Sales & CRM , Sales & CRM , San Francisco Bay Area  , Social Networks , Social Networks , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.longjourney.vc/,https://www.linkedin.com/in/cyanb/,https://www.twitter.com/cyantist,https://www.angel.co/cyantist,https://www.crunchbase.com/person/cyan-banister
Rafael,Corrales,$100K,$100K,$250K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," San Francisco (CA) Consumer Internet , Consumer Internet , Marketplaces , Marketplaces , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  ",https://www.linkedin.com/pulse/introducing-background-capital-rafael-corrales/,https://www.linkedin.com/in/rafaelcorrales/,https://www.angel.co/rafael-corrales,https://www.crunchbase.com/person/rafael-corrales,
Mar,Hershenson,$2.5M,$1M,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Global, Los Altos (CA) , Palo Alto (CA)  AI , Cloud Infrastructure , Diverse Investors  , E-commerce , Enterprise , Female Investors  , FinTech , Marketplaces , SaaS (Seed) , San Francisco Bay Area  ",https://www.pear.vc/mar,https://www.linkedin.com/in/mar-hershenson-b21395/,https://www.twitter.com/marhershenson,https://www.angel.co/p/mar-hershenson-1,https://www.crunchbase.com/person/mar-hershenson
Paige,Craig,$200K,$50K,$250K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," United States, Georgia, Atlanta (GA) , Nashville (TN), New Orleans (LA), Washington (DC) , Raleigh-Durham / Southeast US , Charlotte (NC) , Memphis (TN), St. Louis (MO) , Indianapolis (IN) , Louisville/Jefferson County (KY), Tampa (FL) , Miami (FL) , Jacksonville (FL) , Birmingham (AL) , Montgomery (AL) , Austin (TX) , Dallas (TX) , Texas, Louisiana, Alabama, Tennessee, Kentucky, West Virginia, Virginia, District of Columbia, North Carolina, South Carolina, Florida, Mississippi, Arkansas, Lexington-Fayette (KY)  AI , AI , Angel, Scout, and Solo-Capitalists  , Enterprise , Enterprise , FinTech , FinTech , Future of Work , Future of Work , IoT , IoT , Marketplaces , Marketplaces , Raleigh-Durham / Southeast US  , SaaS (Pre-Seed) , SaaS (Seed) , SMB Software , SMB Software , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.outlanderlabs.com/,https://www.linkedin.com/in/paigecraig/,https://www.twitter.com/paigecraig,https://www.angel.co/paigecraig,https://www.crunchbase.com/person/paige-craig
Ravi,Viswanathan,$1M,$100K,$10.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Burlingame (CA) , San Francisco (CA)  Consumer Internet , Consumer Internet , Enterprise , Enterprise , Retail , Retail , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  ",https://www.newviewcap.com/,https://www.linkedin.com/in/raviswanathan/,https://www.twitter.com/ravi_vis,https://www.crunchbase.com/person/ravi-viswanathan,
Parul,Singh,$2.5M,$1M,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Canada , United States, Cambridge (MA)  AI , Analytics , Boston / New England  , Cloud Infrastructure , Consumer Internet , Creator/Passion Economy , Crypto/Web3 , Developer Tools , Health IT , SaaS (Seed) , Web3/Blockchain ",https://www.parulsingh.com/,https://www.linkedin.com/in/parulsingh/,https://www.twitter.com/parulia,https://www.angel.co/parul-singh,https://www.crunchbase.com/person/parul-singh
