FName,LName,Target,Min,Max,Location,Focus,0,1,2,3,4
Henri,Kuehnert,$300K,$100K,$500K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Berlin (Germany), Germany Analytics , Analytics , Cloud Infrastructure , Cloud Infrastructure , Health & Hospital Services , Health & Hospital Services , Logistics , Logistics , SaaS (Pre-Seed) , SaaS (Seed) , Sales & CRM , Sales & CRM , Security , Security , TransportationTech , TransportationTech , Web3/Blockchain , Web3/Blockchain ",https://www.vertexventures.co.il/,https://www.linkedin.com/in/yanaioron/,https://www.twitter.com/yanaioron,https://www.crunchbase.com/person/yanai-oron,
Yanai,Oron,$3.0M,$500 ,$7.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Tel Aviv (Israel) AI , AI , Enterprise , Enterprise , Health IT , Health IT , Israel  , SaaS (Seed) , SaaS (Series A) , TransportationTech , TransportationTech ",https://www.emery.capital/,https://www.linkedin.com/in/ivs1110/,https://www.angel.co/ivs1110,https://www.crunchbase.com/person/ivan-savelyev,
Ivan,Savelyev,$700K,$500K,$1.5M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Moscow Advertising , Advertising , AI , AI , AR/VR , AR/VR , Cloud Infrastructure , Cloud Infrastructure , E-commerce , E-commerce , Enterprise , Enterprise , FinTech , FinTech , IoT , IoT , SaaS (Pre-Seed) , SaaS (Seed) , Web3/Blockchain , Web3/Blockchain ",https://www.dncapital.com/nenad,https://www.linkedin.com/in/nenadmarovac/,https://www.twitter.com/nenadmarovac,https://www.angel.co/nenad-marovac,https://www.crunchbase.com/person/nenad-marovac
Nenad,Marovac,$250K,$250K,$25.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," London , Palo Alto (CA) Entertainment & Sports , Entertainment & Sports , FinTech , FinTech , Food and Beverage , Food and Beverage , Marketplaces , Marketplaces , Media/Content , Media/Content , Messaging , Messaging , SaaS (Pre-Seed) , SaaS (Seed) , Sales & CRM , Sales & CRM , SMB Software , SMB Software , TransportationTech , TransportationTech ",https://www.techstars.com/investors,https://www.linkedin.com/in/jennyfielding/,https://www.twitter.com/jefielding,https://www.angel.co/p/jenny-fielding,https://www.crunchbase.com/person/jenny-fielding
Jenny,Fielding,$150K,$50K,$250K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," New York (NY) AI , AI , Digital Health , Digital Health , FinTech , FinTech , Future of Work , Future of Work , Logistics , Logistics , New York City  , SaaS (Pre-Seed) , SaaS (Seed) ",https://www.darlingventures.com/,https://www.linkedin.com/in/pascal-unger/,https://www.twitter.com/PascalUnger,https://www.crunchbase.com/person/pascal-unger,
Pascal,Unger,$500K,$250K,$750K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," AI , AI , Crypto/Web3 , Crypto/Web3 , Digital Health , Digital Health , Enterprise , Enterprise , FinTech , FinTech , Future of Work , Future of Work , Marketplaces , Marketplaces , Payments , Payments , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , Web3/Blockchain , Web3/Blockchain , Investors who invested in diverse founders  , Investors who invested in female founders  ",https://www.nps.vc/,https://www.linkedin.com/in/nikhaar/,https://www.angel.co/nikhaarshah,https://www.crunchbase.com/person/nikhaar-shah,
Nik,Shah,$50K,$10K,$1.5M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," United States, India, Europe  AI , AI , Consumer Internet , Consumer Internet , Enterprise , Enterprise , FinTech , FinTech , Future of Work , Future of Work , Insurance , Insurance , Real Estate/PropTech , Real Estate/PropTech , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  ",https://www.linkedin.com/in/dpixel/,https://www.twitter.com/dgiluz,,,
Gianluca,Dettori,$350K,$50K,$2.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Europe, United States FinTech , FinTech , Insurance , Insurance , MarketingTech , MarketingTech , Marketplaces , Marketplaces , SaaS (Pre-Seed) , SaaS (Seed) , Space , Space , Web3/Blockchain , Web3/Blockchain  Global AI , AI , Cloud Infrastructure , Cloud Infrastructure , E-commerce , E-commerce , Health & Hospital Services , Health & Hospital Services , Health IT , Health IT , IoT , IoT , Logistics , Logistics , Medical Devices , Medical Devices , SaaS (Pre-Seed) , SaaS (Seed) , Web3/Blockchain , Web3/Blockchain ",https://www.kolegaindo.com/,https://www.linkedin.com/in/didi-setiahadi-69b15849/,https://www.angel.co/didi-q-mos,https://www.crunchbase.com/person/didi-setiahadi,
Cornel,Chiriac,$200K,$100K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Europe AI , AI , Analytics , Analytics , BioTech , BioTech , ClimateTech/CleanTech , ClimateTech/CleanTech , Cloud Infrastructure , Cloud Infrastructure , DeepTech , DeepTech , Enterprise , Enterprise , London  , Material Science , Material Science , Mobility , Mobility , SaaS (Pre-Seed) , SaaS (Seed) , Investors who were founders  ",https://www.2050cap.com/,https://www.linkedin.com/in/cornelchiriac/,https://www.angel.co/cornel-chiriac?public_profile=1,https://www.crunchbase.com/person/cornel-chiriac,
Brad,Svrluga,$2.0M,$100K,$3.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," New York Enterprise , Mobility , New York City  , SaaS (Seed) ",https://www.primary.vc/team/,https://www.linkedin.com/in/bradsvrluga/,https://www.twitter.com/bradsvrluga,https://www.angel.co/brad-svrluga,https://www.crunchbase.com/person/brad-svrluga
Miriam,Rivera,$875K,$750K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," SF Bay Area (CA) AI , AI , BioTech , BioTech , Consumer Internet , Consumer Internet , Diverse Investors  , Enterprise , Enterprise , Female Investors  , Mobility , Mobility , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  ",https://www.uluventures.com/we/miriam-rivera/,https://www.linkedin.com/in/miriamrivera/,https://www.twitter.com/miriamulu1?lang=en,https://www.angel.co/p/miriam-rivera,https://www.crunchbase.com/person/miriam-rivera
Eduardo,Ronzano,$250K,$100K,$500K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Paris (France), London , Berlin (Germany), Munich (Germany), Amsterdam (Netherlands), Europe  AI , AI , Cloud Infrastructure , Cloud Infrastructure , Consumer Internet , Consumer Internet , Developer Tools , Developer Tools , Enterprise , Enterprise , FinTech , FinTech , Marketplaces , Marketplaces , Robotics , Robotics , SaaS (Pre-Seed) , SaaS (Seed) , Security , Security ",https://www.linkedin.com/in/eduardoronzano/,https://www.angel.co/eronzano,https://www.crunchbase.com/person/eduardo-ronzano,,
Eliot,Durbin,$1.5M,$250K,$4.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," New York (NY) , San Francisco (CA) AI , Analytics , Data Services , Developer Tools , Enterprise , New York City  , SaaS (Seed) , Security , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.boldstart.vc/,https://www.linkedin.com/pub/eliot-durbin/8/66b/5a2/,https://www.twitter.com/etdurbin,,
Alon,Hillel-Tuch,$200K,$100K,$500K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," United States, Global AgTech , AgTech , BioTech , BioTech , Cloud Infrastructure , Cloud Infrastructure , FinTech , FinTech , Health & Hospital Services , Health & Hospital Services , Insurance , Insurance , IoT , IoT , Logistics , Logistics , New York City  , Payments , Payments , SaaS (Pre-Seed) , SaaS (Seed) ",https://www.stacked.capital/,https://www.crunchbase.com/person/alon-hillel-tuch,,,
Angel,Garcia,$250K,$100K,$500K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Barcelona (Spain), London , Delaware, Berlin (Germany)  AI , AI , Consumer Internet , Consumer Internet , Diverse Investors  , Education , Education , Fashion , Fashion , FinTech , FinTech , Games , Games , IoT , IoT , Marketplaces , Marketplaces , SaaS (Pre-Seed) , SaaS (Seed) , SMB Software , SMB Software , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders   Europe AI , AI , AR/VR , AR/VR , Cloud Infrastructure , Cloud Infrastructure , Developer Tools , Developer Tools , Enterprise , Enterprise , Future of Work , Future of Work , Health IT , Health IT , Manufacturing , Manufacturing , SaaS (Pre-Seed) , SaaS (Seed) , Web3/Blockchain , Web3/Blockchain ",https://www.lantacapital.com/,https://www.linkedin.com/in/angelgarciabcn/,https://www.twitter.com/angelgarciabcn,https://www.angel.co/angel-garcia,https://www.crunchbase.com/person/angel-garcia
Bobak,Emamian,$10K,$5K,$50K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Brooklyn (NY) Consumer Health , Consumer Health , Consumer Internet , Consumer Internet , Developer Tools , Developer Tools , E-commerce , E-commerce , Enterprise , Enterprise , Impact , Impact , IoT , IoT , Real Estate/PropTech , Real Estate/PropTech , Retail , Retail , SaaS (Pre-Seed) , SaaS (Seed) ",https://www.overkill.vc/,https://www.linkedin.com/in/marculans/,https://www.crunchbase.com/person/peter-marculans,,
JJ,Kasper,$250K,$250K,$250K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," United States AI , AI , Developer Tools , Developer Tools , E-commerce , E-commerce , FinTech , FinTech , Food and Beverage , Food and Beverage , Marketplaces , Marketplaces , SaaS (Pre-Seed) , SaaS (Seed) ",https://www.debutcapital.com/,https://www.linkedin.com/in/bobakemamian/,https://www.twitter.com/bobakemamian,https://www.angel.co/bobak,https://www.crunchbase.com/person/bobak-emamian
Jim,Andelman,$100K,$100K,$10.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Santa Barbara (CA) , Los Angeles (CA)  Advertising , Advertising , E-commerce , E-commerce , Enterprise Applications , Enterprise Applications , Games , Games , IoT , IoT , Los Angeles / Southern California  , SaaS (Pre-Seed) , SaaS (Seed) , Social Networks , Social Networks ",https://www.bluecollective.com/,https://www.linkedin.com/in/jjkasper/,https://www.twitter.com/jj_kasper,https://www.angel.co/jjkasperjr,https://www.crunchbase.com/person/jj-kasper
Randall,Crowder,$3.0M,$3.0M,$10.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Austin (TX) Diverse Investors  , Health IT , Health IT , Medical Devices , Medical Devices , SaaS (Seed) , SaaS (Series A) ",https://www.bonfirevc.com/,https://www.linkedin.com/in/jimandelman/,https://www.twitter.com/jimandelman,https://www.angel.co/jimandelman,https://www.crunchbase.com/person/jim-andelman
Tom,Lopez,$500K,$50K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Santa Fe (NM), Albuquerque (NM), Denver (CO) , Portland (OR) , New York (NY) , Austin (TX)  AgTech , AgTech , ClimateTech/CleanTech , ClimateTech/CleanTech , EnergyTech , EnergyTech , Health & Hospital Services , Health & Hospital Services , Material Science , Material Science , Retail , Retail , SaaS (Pre-Seed) , SaaS (Seed) , Security , Security ",https://www.texoventures.com/about/,https://www.linkedin.com/in/randallcrowder/,https://www.angel.co/texo-ventures,https://www.crunchbase.com/person/randall-crowder-2,
Dustin,Rosen,$100K,$100K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Los Angeles (CA) Consumer Internet , Consumer Internet , Enterprise , Enterprise , FinTech , FinTech , Health & Hospital Services , Health & Hospital Services , Health IT , Health IT , Logistics , Logistics , Los Angeles / Southern California  , Marketplaces , Marketplaces , SaaS (Pre-Seed) , SaaS (Seed) , TransportationTech , TransportationTech , Web3/Blockchain , Web3/Blockchain ",https://www.aspenvistacapital.com/,https://www.linkedin.com/in/thomas-lopez-1296b15b/,https://www.angel.co/thomas-m-lopez?al_content=view+your+profile&amp;al_source=transaction_feed%2Fnetwork_sidebar,https://www.crunchbase.com/person/tom-lopez,
Blake,Patton,$1.5M,$75K,$3.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Atlanta (GA) AI , Developer Tools , Enterprise , Raleigh-Durham / Southeast US  , SaaS (Seed) , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.wondervc.com/team/,https://www.linkedin.com/in/dustinrosen/,https://www.twitter.com/du_ro,https://www.angel.co/p/dustinrosen,https://www.crunchbase.com/person/dustin-rosen
Henri,Pierre-Jacques,$1M,$750K,$2.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," New York (NY) Consumer Internet , Consumer Internet , Diverse Investors  , Enterprise , Enterprise , Real Estate/PropTech , Real Estate/PropTech , Retail , Retail , SaaS (Pre-Seed) , SaaS (Seed) ",https://www.techsquareventures.com/,https://www.linkedin.com/in/blakepatton/,https://www.twitter.com/BlakePatton,https://www.crunchbase.com/person/blake-patton,
Chad,Byers,$1.3M,$1M,$1.5M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," San Francisco (CA) , Los Angeles (CA) , New York (NY)  Enterprise , FinTech , Marketplaces , Real Estate/PropTech , SaaS (Seed) , San Francisco Bay Area  ",https://www.harlem.capital/henri-pierrejacques,https://www.linkedin.com/in/hpierrejacques/,https://www.twitter.com/hpierrejacques,https://www.crunchbase.com/person/henri-pierre-jacques,
Nico,Lumma,$50K,$25K,$50K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Europe, Israel Advertising , Advertising , AI , AI , Entertainment & Sports , Entertainment & Sports , MarketingTech , MarketingTech , Media/Content , Media/Content , SaaS (Pre-Seed) , SaaS (Seed) ",https://www.susaventures.com/,https://www.linkedin.com/in/chadabyers/,https://www.twitter.com/chadbyers?lang=en,https://www.angel.co/p/chad-byers,https://www.crunchbase.com/person/chad-byers
Ryan,Kuder,$120K,$20K,$120K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," AI , AI , Consumer Internet , Consumer Internet , Enterprise , Enterprise , Hardware , Hardware , Marketplaces , Marketplaces , Robotics , Robotics , SaaS (Pre-Seed) , SaaS (Seed) , SMB Software , SMB Software , Space , Space ",https://www.lumma.de/,https://www.twitter.com/Nico,https://www.angel.co/nicolumma,https://www.crunchbase.com/person/nico-lumma,
Romain,Lavault,$200K,$200K,$50.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Paris (France) FinTech , FinTech , SaaS (Pre-Seed) , SaaS (Seed) , Social Networks , Social Networks ",https://www.techstars.com/,https://www.linkedin.com/in/ryankuder/,https://www.angel.co/ryankuder,https://www.crunchbase.com/person/ryan-kuder,
Riley,Florsheim,$350K,$100K,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Chicago (IL) , Toronto (Ontario) , Colorado, Ohio, United States, Canada , Dubai, London , Warsaw (Poland), San Francisco (CA)  AI , AI , Analytics , Analytics , AR/VR , AR/VR , Cloud Infrastructure , Cloud Infrastructure , Data Services , Data Services , Developer Tools , Developer Tools , Diverse Investors  , Enterprise , Enterprise , IoT , IoT , Midwest  , SaaS (Pre-Seed) , SaaS (Seed) , Space , Space , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.partechpartners.com/team/romain-lavault/,https://www.linkedin.com/in/lavault/,https://www.twitter.com/RomainLavault,https://www.angel.co/romain-lavault,https://www.crunchbase.com/person/romain-lavault
Seth,Berman,$1.3M,$1M,$1.5M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Los Angeles (CA) , SF Bay Area (CA) , San Francisco (CA)  Advertising , AI , Cloud Infrastructure , E-commerce , Games , Hardware , Marketplaces , Media/Content , SaaS (Seed) , San Francisco Bay Area  , Social Commerce ",https://www.upheavalinvestments.com/,https://www.linkedin.com/in/riley-florsheim-457402166/,https://www.angel.co/riley-florsheim,https://www.crunchbase.com/person/riley-florsheim,
David,Arcara,$750K,$500K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," New York (NY) , Boston (MA) , Washington (DC)  Analytics , Analytics , Enterprise , Enterprise , FinTech , FinTech , Future of Work , Future of Work , Logistics , Logistics , Real Estate/PropTech , Real Estate/PropTech , Retail , Retail , SaaS (Pre-Seed) , SaaS (Seed) , Sales & CRM , Sales & CRM , SMB Software , SMB Software ",https://www.susaventures.com/,https://www.linkedin.com/in/sethgberman/,https://www.twitter.com/sethgb?lang=en,https://www.angel.co/seth-berman,https://www.crunchbase.com/person/seth-berman
Ben,Trumbull,$500K,$200K,$1.5M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Pittsburgh (PA) , Louisville/Jefferson County (KY), Indianapolis (IN) , Cincinnati (OH) , Ann Arbor (MI) , Grand Rapids (MI) , Kalamazoo (MI) , Kansas City (KS), Cleveland (OH) , Columbus (OH), Lexington-Fayette (KY), Toledo (OH) , Chicago (IL)  Enterprise , Enterprise , Health & Hospital Services , Health & Hospital Services , Health IT , Health IT , Insurance , Insurance , IoT , IoT , Logistics , Logistics , Marketplaces , Marketplaces , Midwest  , SaaS (Pre-Seed) , SaaS (Seed) ",https://www.laconiacapitalgroup.com/,https://www.linkedin.com/in/david-arcara-b8a0801/,https://www.crunchbase.com/person/david-arcara,,
Lisa,Calhoun,$1M,$250K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Atlanta (GA) , Birmingham (AL) , Memphis (TN), New Orleans (LA), Baton Rouge (LA), Dallas (TX) , Austin (TX) , Charlotte (NC) , Nashville (TN), Charleston (SC) , Tampa (FL)  Cloud Infrastructure , Cloud Infrastructure , Female Investors  , FinTech , FinTech , Health IT , Health IT , Impact , Impact , Raleigh-Durham / Southeast US  , SaaS (Pre-Seed) , SaaS (Seed) , Sales & CRM , Sales & CRM , Security , Security , Space , Space , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.tamarind-hill.com/,https://www.linkedin.com/in/ben-trumbull-202a182/,https://www.crunchbase.com/person/ben-trumbull,,
Tomasz,Golinski,$500K,$100K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Europe, Warsaw (Poland) AI , AI , ClimateTech/CleanTech , ClimateTech/CleanTech , E-commerce , E-commerce , Enterprise , Enterprise , FinTech , FinTech , Gaming/eSports , Gaming/eSports , Logistics , Logistics , Marketplaces , Marketplaces , SaaS (Pre-Seed) , SaaS (Seed) , Space , Space , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders   San Francisco (CA) , Los Angeles (CA) , Sydney  AI , Data Services , Enterprise , FinTech , Health & Hospital Services , Health IT , Insurance , IoT , Logistics , SaaS (Seed) ",https://www.valor.vc/,https://www.linkedin.com/in/lisacalhoun/,https://www.twitter.com/lisa_calhoun,https://www.crunchbase.com/person/lisa-calhoun,
Angela,Jackson,$25K,$0 ,$0 ,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Portland (OR) Cloud Infrastructure , Cloud Infrastructure , Diverse Investors  , Enterprise , Enterprise , Female Investors  , Hardware , Hardware , Marketplaces , Marketplaces , Media/Content , Media/Content , SaaS (Pre-Seed) , SaaS (Seed) , Social Networks , Social Networks ",https://www.cofounder.zone/,https://www.linkedin.com/in/tomaszgolinski/,https://www.crunchbase.com/person/tomasz-golinski,,
Andrew,Scott,$500K,$3K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," London , Europe, United States  AI , AI , AR/VR , AR/VR , ClimateTech/CleanTech , ClimateTech/CleanTech , Crypto/Web3 , Crypto/Web3 , DeepTech , DeepTech , Future of Work , Future of Work , London  , Material Science , Material Science , Robotics , Robotics , SaaS (Pre-Seed) , SaaS (Seed) , Space , Space , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.kingriver.co/,https://www.linkedin.com/company/king-river-investments/about/,https://www.angel.co/zebediah-rice,https://www.crunchbase.com/person/zeb-rice,
Raymond,Tonsing,$400K,$300K,$500K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," San Francisco (CA) AI , AI , BioTech , BioTech , Cloud Infrastructure , Cloud Infrastructure , Consumer Internet , Consumer Internet , Data Services , Data Services , Enterprise , Enterprise , Future of Work , Future of Work , IoT , IoT , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , Web3/Blockchain , Web3/Blockchain ",https://www.linkedin.com/in/angelajackson/,https://www.twitter.com/ABJackson,https://www.angel.co/angela-jackson,https://www.crunchbase.com/person/angela-jackson,
Marcel,van der Heijden,$500K,$350K,$600K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Europe Cloud Infrastructure , Cloud Infrastructure , Data Services , Data Services , Enterprise , Enterprise , Insurance , Insurance , IoT , IoT , Logistics , Logistics , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , SMB Software , SMB Software , Web3/Blockchain , Web3/Blockchain ",https://www.7percent.vc/,https://www.linkedin.com/in/andrewjscott/,https://www.twitter.com/andrewjscott,https://www.crunchbase.com/person/andrew-scott,
Cindy,Bi,$125K,$100K,$250K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Global, Palo Alto (CA) , SF Bay Area (CA)  Enterprise , Enterprise , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  ",https://www.caffeinatedcapital.com/,https://www.linkedin.com/in/tonsing/,https://www.twitter.com/tonsing,https://www.angel.co/tonsing,https://www.crunchbase.com/person/raymond-tonsing
Nihal,Mehta,$700K,$200K,$1.2M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," New York (NY) Advertising , Advertising , Consumer Internet , Consumer Internet , Data Services , Data Services , E-commerce , E-commerce , Education , Education , Media/Content , Media/Content , New York City  , SaaS (Pre-Seed) , SaaS (Seed) , Social Commerce , Social Commerce ",https://www.speedinvest.com/,https://www.linkedin.com/in/marceljvanderheijden/,https://www.twitter.com/Marcel_v_d_H,https://www.angel.co/marcel-speedinvest-com,https://www.crunchbase.com/person/marcel-van-der-heijden
Cristian,Olea,$600K,$200K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Santiago (Chile), Argentina, Mexico (Mexico), Colombia  AgTech , AgTech , AI , AI , AR/VR , AR/VR , E-commerce , E-commerce , FinTech , FinTech , Gaming/eSports , Gaming/eSports , IoT , IoT , SaaS (Pre-Seed) , SaaS (Seed) , Security , Security , Web3/Blockchain , Web3/Blockchain ",https://www.capitalx.company/,https://www.linkedin.com/in/cindybisv/,https://www.twitter.com/cindybisv?lang=en,https://www.angel.co/p/cindybisv,https://www.crunchbase.com/person/cindy-bi
Alex,Kahn,$100K,$50K,$250K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Palo Alto (CA) , Scottsdale (AZ) , Menlo Park (CA) , San Francisco (CA)  AI , AI , Analytics , Analytics , AR/VR , AR/VR , Cloud Infrastructure , Cloud Infrastructure , Data Services , Data Services , Developer Tools , Developer Tools , Enterprise , Enterprise , FinTech , FinTech , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , Travel , Travel ",https://www.eniac.vc/team,https://www.linkedin.com/in/nihalmehta/,https://www.twitter.com/nihalmehta,https://www.angel.co/nihalmehta,https://www.crunchbase.com/person/nihal-mehta
Richard,Dulude,$4.0M,$2.0M,$14.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Boston (MA) , New York (NY) , Montreal, Toronto (Ontario)  AI , AI , AR/VR , AR/VR , Boston / New England  , Cloud Infrastructure , Cloud Infrastructure , E-commerce , E-commerce , FinTech , FinTech , Marketplaces , Marketplaces , SaaS (Seed) , SaaS (Series A) , Web3/Blockchain , Web3/Blockchain , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.manutaraventures.com/,https://www.linkedin.com/company/manutara-ventures/,https://www.crunchbase.com/person/cristian-olea,,
Pablo,Fernandez,$300K,$200K,$1M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Santiago (Chile), United States, Buenos Aires (Argentina), Colombia, Mexico (Mexico)  AgTech , AgTech , AI , AI , BioTech , BioTech , FinTech , FinTech , Food and Beverage , Food and Beverage , Health IT , Health IT , IoT , IoT , Medical Devices , Medical Devices , SaaS (Pre-Seed) , SaaS (Seed) , SMB Software , SMB Software ",https://www.generationvc.com/,https://www.linkedin.com/in/aikahn/,https://www.angel.co/alex-kahn,https://www.crunchbase.com/organization/generation-ventures,
Benjamin,Savage,$1.5M,$250K,$3.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Canada , Europe, Latin America, Santa Monica (CA) , California, Massachusetts, New York, Washington, Rhode Island, Atlanta (GA) , Boston (MA) , Seattle (WA) , Georgia, Austin (TX)  ClimateTech/CleanTech , Consumer Internet , E-commerce , Enterprise , FinTech , Hardware , Insurance , Los Angeles / Southern California  , Marketplaces , Real Estate/PropTech , SaaS (Seed) ",https://www.underscore.vc/,https://www.linkedin.com/in/dulude/,https://www.twitter.com/dulude_xyz,https://www.angel.co/rd,https://www.crunchbase.com/person/richard-dulude
Jay,Farber,$250K,$100K,$10.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," California, Oregon, Washington, Utah, Colorado  Enterprise , Enterprise , FinTech , FinTech , Insurance , Insurance , Payments , Payments , Real Estate/PropTech , Real Estate/PropTech , SaaS (Pre-Seed) , SaaS (Seed) , San Francisco Bay Area  , SMB Software , SMB Software ",https://www.endinv.com/,https://www.linkedin.com/in/pablofernandezg/,https://www.crunchbase.com/person/pablo,,
Kelby,Price,$250K,$100K,$750K,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Kentucky, Lexington-Fayette (KY), Covington (KY), Louisville/Jefferson County (KY), Bowling Green (KY), Owensboro (KY)  AgTech , AgTech , Education , Education , Enterprise , Enterprise , Food and Beverage , Food and Beverage , Health IT , Health IT , Logistics , Logistics , Manufacturing , Manufacturing , MarketingTech , MarketingTech , SaaS (Pre-Seed) , SaaS (Seed) , Sales & CRM , Sales & CRM , Investors who invested in diverse founders  , Investors who invested in female founders  , Investors who were founders  ",https://www.linkedin.com/in/linksavage/,https://www.twitter.com/savagewire,https://www.angel.co/p/ben-savage,https://www.crunchbase.com/person/benjamin-savage,
Eric,Chin,$4.0M,$2.0M,$10.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," SF Bay Area (CA) , Woodside (CA) , Palo Alto (CA)  AI , AI , Analytics , Analytics , Cloud Infrastructure , Cloud Infrastructure , Data Services , Data Services , Enterprise , Enterprise , FinTech , FinTech , Marketplaces , Marketplaces , SaaS (Seed) , SaaS (Series A) , Sales & CRM , Sales & CRM , San Francisco Bay Area  ",https://www.fprimecapital.com/,https://www.linkedin.com/in/jayfarber/,https://www.twitter.com/jay_farber,https://www.angel.co/jay-farber,https://www.crunchbase.com/person/jay-farber
T.M.,Ravi,$1.8M,$1.5M,$5.0M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Palo Alto (CA) AI , AR/VR , FinTech , IoT , Marketplaces , Payments , SaaS (Seed) , Sales & CRM , Security , Web3/Blockchain ",https://www.mammothview.vc/,https://www.linkedin.com/in/kelbyprice/,https://www.twitter.com/kamurai,https://www.angel.co/p/kelbyprice,https://www.crunchbase.com/person/kelby-price-4efc
Fredrik,Cassel,$200K,$200K,$7.5M,"Palo Alto (CA) , San Francisco (CA) , SF Bay Area (CA)"," Consumer Internet , Consumer Internet , Hardware , Hardware , SaaS (Pre-Seed) , SaaS (Seed) ",https://www.crosslinkcapital.com/team/eric-chin/,https://www.linkedin.com/in/ericchin1/,https://www.twitter.com/chindogger,https://www.angel.co/chindogger,https://www.crunchbase.com/person/eric-chin
